Instance Type,PricePerUnit
r6idn.metal,12.50496
c3.xlarge,0.21
i4i.8xlarge,2.746
r6gd.12xlarge,2.7648
r7iz.4xlarge,1.488
r5b.4xlarge,1.192
r6i.8xlarge,2.016
c6g.medium,0.034
r5ad.large,0.131
m6gd.12xlarge,2.1696
r6g.metal,3.2256
c7gn.large,0.1248
r6i.12xlarge,3.024
c3.large,0.105
r7iz.metal-32xl,11.904
m5ad.2xlarge,0.412
c3.8xlarge,1.68
p4d.24xlarge,32.7726
c5a.12xlarge,1.848
c5.2xlarge,0.34
t3.large,0.0832
x2idn.32xlarge,13.338
m7i.large,0.1008
m7gd.medium,0.0534
is4gen.2xlarge,1.1526
c5d.metal,4.608
c5n.xlarge,0.216
r6idn.32xlarge,12.50496
r6a.32xlarge,7.2576
i3en.large,0.226
m5.16xlarge,3.072
a1.4xlarge,0.408
z1d.xlarge,0.372
m5dn.24xlarge,6.528
p3dn.24xlarge,31.212
m7a.medium,0.05796
r5a.large,0.113
c7i.metal-24xl,4.284
i4i.4xlarge,1.373
g5g.16xlarge,2.744
t2.micro,0.0116
r6i.16xlarge,4.032
m4.10xlarge,2.0
r5a.2xlarge,0.452
r3.xlarge,0.333
m2.xlarge,0.245
c5n.18xlarge,3.888
r6id.metal,9.6768
r7a.xlarge,0.3043
c5ad.2xlarge,0.344
m6in.4xlarge,1.11384
r6g.xlarge,0.2016
r5n.xlarge,0.298
c6g.4xlarge,0.544
r7iz.32xlarge,11.904
r6a.12xlarge,2.7216
c7i.16xlarge,2.856
c7gn.4xlarge,0.9984
c6i.xlarge,0.17
r6id.16xlarge,4.8384
i4i.24xlarge,8.2368
m5dn.metal,6.528
i3.large,0.156
c5n.metal,3.888
x2iedn.2xlarge,1.66725
m5a.4xlarge,0.688
c6in.16xlarge,3.6288
is4gen.medium,0.14408
r7iz.2xlarge,0.744
r5.16xlarge,4.032
r6g.2xlarge,0.4032
t3.nano,0.0052
r6in.large,0.17433
i4i.large,0.172
m6i.12xlarge,2.304
z1d.6xlarge,2.232
c6id.8xlarge,1.6128
r5a.12xlarge,2.712
m7gd.16xlarge,3.4171
m1.large,0.175
m7gd.2xlarge,0.4271
m6idn.xlarge,0.31824
i3.2xlarge,0.624
m7g.4xlarge,0.6528
c5ad.xlarge,0.172
m7g.8xlarge,1.3056
c6a.12xlarge,1.836
r7g.large,0.1071
c6a.4xlarge,0.612
i4i.2xlarge,0.686
r5dn.8xlarge,2.672
m7i.16xlarge,3.2256
r6a.24xlarge,5.4432
u-3tb1.56xlarge,27.3
m5.metal,4.608
r7gd.16xlarge,4.3546
a1.2xlarge,0.204
m7i-flex.8xlarge,1.53216
m6g.metal,2.464
i4i.metal,10.982
inf2.xlarge,0.7582
c6gn.xlarge,0.1728
c6a.8xlarge,1.224
c7i.4xlarge,0.714
g4dn.8xlarge,2.176
m5d.8xlarge,1.808
r4.4xlarge,1.064
r7g.8xlarge,1.7136
c5d.large,0.096
g5g.4xlarge,0.828
x2gd.xlarge,0.334
i2.2xlarge,1.705
vt1.24xlarge,5.2
c6in.4xlarge,0.9072
c7gd.xlarge,0.1814
m5a.large,0.086
c5n.large,0.108
c7a.24xlarge,4.92672
m5d.24xlarge,5.424
r5.24xlarge,6.048
c5a.xlarge,0.154
m6a.24xlarge,4.1472
i3en.xlarge,0.452
im4gn.4xlarge,1.45517
m7g.metal,2.6112
c7g.2xlarge,0.29
x2iedn.metal,26.676
m7a.metal-48xl,11.12832
i2.8xlarge,6.82
c5n.2xlarge,0.432
r5.large,0.126
m5dn.large,0.136
r6gd.2xlarge,0.4608
t3.medium,0.0416
u-12tb1.112xlarge,109.2
c7i.metal-48xl,8.568
m7i.4xlarge,0.8064
